gu,school_level,n_student
소계,초등학교,393565.0
소계,중학교,205387.0
소계,고등학교,207388.0
종로구,초등학교,4961.0
종로구,중학교,2637.0
종로구,고등학교,7589.0
중구,초등학교,4766.0
중구,중학교,1674.0
중구,고등학교,5547.0
용산구,초등학교,6396.0
용산구,중학교,3299.0
용산구,고등학교,4575.0
성동구,초등학교,10408.0
성동구,중학교,4649.0
성동구,고등학교,3814.0
광진구,초등학교,13476.0
광진구,중학교,7040.0
광진구,고등학교,7222.0
동대문구,초등학교,12839.0
동대문구,중학교,6323.0
동대문구,고등학교,6281.0
중랑구,초등학교,13692.0
중랑구,중학교,6434.0
중랑구,고등학교,5796.0
성북구,초등학교,19369.0
성북구,중학교,9260.0
성북구,고등학교,7618.0
강북구,초등학교,8895.0
강북구,중학교,5905.0
강북구,고등학교,5029.0
도봉구,초등학교,13533.0
도봉구,중학교,6196.0
도봉구,고등학교,6055.0
노원구,초등학교,23991.0
노원구,중학교,14574.0
노원구,고등학교,17753.0
은평구,초등학교,19405.0
은평구,중학교,9906.0
은평구,고등학교,11712.0
서대문구,초등학교,12918.0
서대문구,중학교,5841.0
서대문구,고등학교,4796.0
마포구,초등학교,13750.0
마포구,중학교,7550.0
마포구,고등학교,5652.0
양천구,초등학교,22998.0
양천구,중학교,15753.0
양천구,고등학교,11728.0
강서구,초등학교,24468.0
강서구,중학교,10686.0
강서구,고등학교,13342.0
구로구,초등학교,16900.0
구로구,중학교,8064.0
구로구,고등학교,8799.0
금천구,초등학교,7952.0
금천구,중학교,3771.0
금천구,고등학교,3769.0
영등포구,초등학교,13830.0
영등포구,중학교,6305.0
영등포구,고등학교,5488.0
동작구,초등학교,14872.0
동작구,중학교,7255.0
동작구,고등학교,5480.0
관악구,초등학교,12975.0
관악구,중학교,6609.0
관악구,고등학교,8498.0
서초구,초등학교,21867.0
서초구,중학교,11678.0
서초구,고등학교,9337.0
강남구,초등학교,25745.0
강남구,중학교,16593.0
강남구,고등학교,17305.0
송파구,초등학교,31536.0
송파구,중학교,16404.0
송파구,고등학교,13668.0
강동구,초등학교,22023.0
강동구,중학교,10981.0
강동구,고등학교,10535.0
