school_name,year,n_deliberation
행당중학교,2022,2
옥정중학교,2022,1
마장중학교,2022,6
양진중학교,2022,2
광진중학교,2022,5
광양중학교,2022,3
문창중학교,2022,3
강남중학교,2022,1
당곡중학교,2022,5
관악중학교,2022,9
강빛중학교,2022,1
신명중학교,2022,2
솔샘중학교,2022,3
인수중학교,2022,3
숭곡중학교,2022,4
길음중학교,2022,1
청담중학교,2022,1
봉은중학교,2022,1
영동중학교,2022,3
신동중학교,2022,1
반포중학교,2022,2
화국중학교,2022,1
마곡중학교,2022,1
경서중학교,2022,3
영도중학교,2022,2
신서중학교,2022,3
환일중학교,2022,6
한양중학교,2022,4
한강중학교,2022,1
오산중학교,2022,2
용산중학교,2022,5
경신중학교,2022,5
대신중학교,2022,8
하계중학교,2022,4
태랑중학교,2022,9
광운중학교,2022,6
노곡중학교,2022,3
방학중학교,2022,1
신길중학교,2022,10
문래중학교,2022,7
항동중학교,2022,5
문일중학교,2022,4
난곡중학교,2022,6
홍은중학교,2022,9
한성중학교,2022,6
충암중학교,2022,8
증산중학교,2022,3
찬천중학교,2022,4
신수중학교,2022,2
휘경중학교,2022,4
청량중학교,2022,11
성일중학교,2022,6
태릉중학교,2022,1
중랑중학교,2022,1
