,si,gu,dong
4,서울특별시,종로구,사직동
5,서울특별시,종로구,삼청동
6,서울특별시,종로구,부암동
7,서울특별시,종로구,평창동
8,서울특별시,종로구,무악동
9,서울특별시,종로구,교남동
10,서울특별시,종로구,가회동
11,서울특별시,종로구,종로1.2.3.4가동
12,서울특별시,종로구,종로5.6가동
13,서울특별시,종로구,이화동
14,서울특별시,종로구,혜화동
15,서울특별시,종로구,창신1동
16,서울특별시,종로구,창신2동
17,서울특별시,종로구,창신3동
18,서울특별시,종로구,숭인1동
19,서울특별시,종로구,숭인2동
20,서울특별시,종로구,청운효자동
22,서울특별시,중구,소공동
23,서울특별시,중구,회현동
24,서울특별시,중구,명동
25,서울특별시,중구,필동
26,서울특별시,중구,장충동
27,서울특별시,중구,광희동
28,서울특별시,중구,을지로동
29,서울특별시,중구,신당5동
30,서울특별시,중구,황학동
31,서울특별시,중구,중림동
32,서울특별시,중구,신당동
33,서울특별시,중구,다산동
34,서울특별시,중구,약수동
35,서울특별시,중구,청구동
36,서울특별시,중구,동화동
38,서울특별시,용산구,후암동
39,서울특별시,용산구,용산2가동
40,서울특별시,용산구,남영동
41,서울특별시,용산구,원효로2동
42,서울특별시,용산구,효창동
43,서울특별시,용산구,용문동
44,서울특별시,용산구,이촌1동
45,서울특별시,용산구,이촌2동
46,서울특별시,용산구,이태원1동
47,서울특별시,용산구,이태원2동
48,서울특별시,용산구,서빙고동
49,서울특별시,용산구,보광동
50,서울특별시,용산구,청파동
51,서울특별시,용산구,원효로1동
52,서울특별시,용산구,한강로동
53,서울특별시,용산구,한남동
55,서울특별시,성동구,왕십리2동
56,서울특별시,성동구,마장동
57,서울특별시,성동구,사근동
58,서울특별시,성동구,행당1동
59,서울특별시,성동구,행당2동
60,서울특별시,성동구,응봉동
61,서울특별시,성동구,금호1가동
62,서울특별시,성동구,금호4가동
63,서울특별시,성동구,성수1가1동
64,서울특별시,성동구,성수1가2동
65,서울특별시,성동구,성수2가1동
66,서울특별시,성동구,성수2가3동
67,서울특별시,성동구,송정동
68,서울특별시,성동구,용답동
69,서울특별시,성동구,왕십리도선동
70,서울특별시,성동구,금호2.3가동
71,서울특별시,성동구,옥수동
73,서울특별시,광진구,화양동
74,서울특별시,광진구,군자동
75,서울특별시,광진구,중곡1동
76,서울특별시,광진구,중곡2동
77,서울특별시,광진구,중곡3동
78,서울특별시,광진구,중곡4동
79,서울특별시,광진구,능동
80,서울특별시,광진구,구의1동
81,서울특별시,광진구,구의2동
82,서울특별시,광진구,구의3동
83,서울특별시,광진구,광장동
84,서울특별시,광진구,자양1동
85,서울특별시,광진구,자양2동
86,서울특별시,광진구,자양3동
87,서울특별시,광진구,자양4동
89,서울특별시,동대문구,회기동
90,서울특별시,동대문구,휘경1동
91,서울특별시,동대문구,휘경2동
92,서울특별시,동대문구,청량리동
