,school_code,school_name,doro_zipcode,doroname,doroname_detail,si,gu
0,7134155,선화예술중학교,4991,서울특별시 광진구 천호대로 664,/ 선화예술중고등학교 (능동),서울특별시,광진구
1,7134150,서울숭신초등학교,4702,서울특별시 성동구 마장로 161,(하왕십리동),서울특별시,성동구
2,7134142,행당중학교,4764,서울특별시 성동구 왕십리로 189,(행당동/행당중학교),서울특별시,성동구
3,7134141,한양대학교사범대학부속중학교,4761,서울특별시 성동구 마조로 42,(사근동/한양사대부속중?고등학교),서울특별시,성동구
4,7134140,자양중학교,5069,서울특별시 광진구 뚝섬로41길 33,(자양동/서울자양중학교),서울특별시,광진구
5,7134139,용곡중학교,4940,서울특별시 광진구 용마산로22길 76,(중곡동/용곡중학교),서울특별시,광진구
6,7134138,옥정중학교,4734,서울특별시 성동구 한림말길 11,/ 옥정중학교 (옥수동),서울특별시,성동구
7,7134137,양진중학교,4982,서울특별시 광진구 워커힐로 32,/ 양진중학교,서울특별시,광진구
8,7134136,신양중학교,5087,서울특별시 광진구 자양강변길 73,/ 신양중학교 (자양동),서울특별시,광진구
9,7134135,성원중학교,4775,서울특별시 성동구 성덕정9가길 13,(성수동2가/ 성원중학교),서울특별시,성동구
10,7134134,성수중학교,4768,서울특별시 성동구 서울숲길 18,(성수동1가/ 성수중학교),서울특별시,성동구
11,7134132,무학중학교,4716,서울특별시 성동구 행당로 120,(행당동),서울특별시,성동구
12,7134131,마장중학교,4753,서울특별시 성동구 마장로35나길 31,/ 마장중학교 (마장동),서울특별시,성동구
13,7134130,대원국제중학교,4939,서울특별시 광진구 용마산로22길 26,/ 대원국제중학교 (중곡동),서울특별시,광진구
14,7134129,동마중학교,4759,서울특별시 성동구 마조로11길 18,(마장동),서울특별시,성동구
15,7134128,동국대학교사범대학부속여자중학교,5038,서울특별시 광진구 광나루로36길 47,/ 동국대학교사범대학부속여자중학교 (구의동),서울특별시,광진구
16,7134127,구의중학교,5022,서울특별시 광진구 광나루로30길 80,(화양동),서울특별시,광진구
17,7134126,광희중학교,4742,서울특별시 성동구 독서당로62길 46,/ 광희중학교 (응봉동),서울특별시,성동구
18,7134125,광진중학교,5114,서울특별시 광진구 뚝섬로64길 45,(자양동/광진중학교),서울특별시,광진구
19,7134124,광장중학교,4966,서울특별시 광진구 광장로1길 1,/ 광장중학교 (광장동),서울특별시,광진구
20,7134123,광양중학교,5104,서울특별시 광진구 자양로3길 7,(자양동),서울특별시,광진구
21,7134122,광남중학교,4973,서울특별시 광진구 아차산로70길 17-62,/ 광남중학교 (광장동),서울특별시,광진구
22,7134121,경일중학교,4779,서울특별시 성동구 성수일로 27,(성수동1가),서울특별시,성동구
23,7134120,경수중학교,4785,서울특별시 성동구 뚝섬로13길 14,(성수동2가),서울특별시,성동구
24,7134119,건국대학교사범대학부속중학교,5025,서울특별시 광진구 자양로 145-1,건국대학교사범대학부속중학교,서울특별시,광진구
25,7134118,한양초등학교,4763,서울특별시 성동구 살곶이길 208,/ 한양초등학교 (사근동),서울특별시,성동구
26,7134117,세종초등학교,5006,서울특별시 광진구 군자로 114,/ 세종초등학교 (군자동),서울특별시,광진구
27,7134116,성동초등학교,5114,서울특별시 광진구 자양로4길 63,(자양동),서울특별시,광진구
28,7134114,서울행현초등학교,4713,서울특별시 성동구 행당로 95,(행당동),서울특별시,성동구
29,7134113,서울행당초등학교,4746,서울특별시 성동구 고산자로8길 6,/ 서울행당초등학교 (행당동),서울특별시,성동구
30,7134112,서울중마초등학교,4907,서울특별시 광진구 동일로72길 43,(중곡동),서울특별시,광진구
31,7134111,서울중광초등학교,4908,서울특별시 광진구 긴고랑로13길 59,(중곡동/중광초등학교),서울특별시,광진구
32,7134110,서울장안초등학교,5004,서울특별시 광진구 군자로 74,(군자동),서울특별시,광진구
33,7134109,서울자양초등학교,5054,서울특별시 광진구 아차산로44길 26,(자양동),서울특별시,광진구
34,7134108,서울응봉초등학교,4742,서울특별시 성동구 독서당로62길 28,(응봉동/ 응봉초등학교),서울특별시,성동구
35,7134107,서울용마초등학교,4926,서울특별시 광진구 천호대로113길 10,(중곡동),서울특별시,광진구
36,7134106,서울용답초등학교,4805,서울특별시 성동구 용답25길 1,/ 서울용답초등학교,서울특별시,성동구
37,7134105,서울용곡초등학교,4940,서울특별시 광진구 용마산로22길 82,/ 서울용곡초등학교 (중곡동),서울특별시,광진구
38,7134104,서울옥정초등학교,4735,서울특별시 성동구 한림말길 43,(옥수동/옥정초등학교),서울특별시,성동구
